frame_number,landmark_id,x_pixel,y_pixel,z_normalized,visibility
1,0,1218,184,-0.0308,0.9999
1,1,1231,161,-0.0544,1.0
1,2,1234,161,-0.0545,0.9999
1,3,1237,161,-0.0546,1.0
1,4,1230,159,-0.0211,1.0
1,5,1233,159,-0.0211,1.0
1,6,1236,158,-0.0211,1.0
1,7,1269,174,-0.1077,1.0
1,8,1272,172,0.0402,1.0
1,9,1230,209,-0.0469,1.0
1,10,1228,207,-0.0042,0.9999
1,11,1297,313,-0.1887,1.0
1,12,1352,317,0.1423,0.9996
1,13,1332,490,-0.1569,0.9554
1,14,1460,462,0.1766,0.2387
1,15,1187,498,-0.0132,0.8443
1,16,1418,566,0.1267,0.2011
1,17,1149,494,-0.0167,0.7971
1,18,1463,589,0.1222,0.2203
1,19,1159,475,-0.0093,0.7968
1,20,1407,580,0.107,0.224
1,21,1172,477,-0.0034,0.7334
1,22,1400,575,0.117,0.2016
1,23,1396,672,-0.1107,0.9998
1,24,1368,664,0.1107,0.999
1,25,1458,951,-0.1133,0.9928
1,26,1175,829,0.1249,0.8535
1,27,1639,1164,-0.083,0.9975
1,28,1420,896,0.3317,0.6928
1,29,1696,1194,-0.0817,0.9832
1,30,1458,874,0.3524,0.7927
1,31,1549,1255,-0.151,0.9967
1,32,1462,979,0.3773,0.8141
2,0,1218,174,-0.0356,0.9999
2,1,1231,151,-0.0595,1.0
2,2,1234,151,-0.0596,1.0
2,3,1237,152,-0.0596,1.0
2,4,1231,148,-0.027,1.0
2,5,1234,147,-0.027,1.0
2,6,1238,147,-0.027,1.0
2,7,1268,164,-0.1152,1.0
2,8,1273,162,0.0303,1.0
2,9,1230,199,-0.0529,1.0
2,10,1228,197,-0.011,0.9999
2,11,1290,303,-0.1955,1.0
2,12,1353,311,0.1281,0.9996
2,13,1309,481,-0.1565,0.9586
2,14,1476,436,0.1719,0.2654
2,15,1186,466,0.0168,0.8509
2,16,1421,549,0.1307,0.2263
2,17,1149,460,0.015,0.8019
2,18,1430,573,0.1256,0.2404
2,19,1159,439,0.0229,0.8014
2,20,1407,567,0.109,0.2443
2,21,1172,440,0.0268,0.7392
2,22,1402,560,0.1207,0.2199
2,23,1389,662,-0.1089,0.9998
2,24,1366,661,0.1088,0.999
2,25,1495,919,-0.1236,0.9934
2,26,1173,816,0.1427,0.8662
2,27,1680,1131,-0.0947,0.9977
2,28,1382,952,0.3076,0.722
2,29,1734,1151,-0.093,0.9845
2,30,1425,953,0.3207,0.8104
2,31,1655,1249,-0.1704,0.997
2,32,1355,1087,0.3186,0.8314
3,0,1219,162,0.0409,1.0
3,1,1232,139,0.0158,1.0
3,2,1234,139,0.0158,1.0
3,3,1238,139,0.0158,1.0
3,4,1233,137,0.0443,1.0
3,5,1236,136,0.0443,1.0
3,6,1240,135,0.0443,1.0
3,7,1268,152,-0.0518,1.0
3,8,1274,150,0.0774,1.0
3,9,1231,188,0.0197,1.0
3,10,1230,186,0.0565,0.9999
3,11,1289,285,-0.1473,1.0
3,12,1360,297,0.1538,0.9997
3,13,1287,457,-0.0816,0.9616
3,14,1489,399,0.203,0.2973
3,15,1200,427,0.1321,0.8464
3,16,1425,519,0.1919,0.2399
3,17,1174,418,0.1434,0.7882
3,18,1429,547,0.1941,0.2472
3,19,1184,402,0.1505,0.7871
3,20,1411,545,0.1781,0.251
3,21,1195,404,0.1431,0.7267
3,22,1408,537,0.1833,0.2262
3,23,1383,644,-0.1106,0.9999
3,24,1366,649,0.1104,0.9991
3,25,1535,887,-0.1643,0.994
3,26,1164,803,0.1249,0.8766
3,27,1751,1066,-0.153,0.9979
3,28,1275,1038,0.2151,0.7489
3,29,1806,1071,-0.1502,0.9855
3,30,1322,1079,0.2214,0.8276
3,31,1770,1202,-0.2097,0.9972
3,32,1182,1138,0.2066,0.847
4,0,1218,156,0.0396,1.0
4,1,1231,132,0.0142,1.0
4,2,1234,132,0.0142,0.9999
4,3,1237,132,0.0142,1.0
4,4,1232,130,0.0428,1.0
4,5,1235,129,0.0428,1.0
4,6,1239,129,0.0428,1.0
4,7,1266,144,-0.0522,1.0
4,8,1272,142,0.0784,0.9999
4,9,1231,181,0.0195,0.9999
4,10,1230,180,0.0568,0.9999
4,11,1286,277,-0.1387,0.9999
4,12,1361,286,0.1509,0.9997
4,13,1264,452,-0.0633,0.9639
4,14,1501,385,0.1949,0.3345
4,15,1207,416,0.158,0.8164
4,16,1427,503,0.1724,0.2443
4,17,1188,402,0.1707,0.7471
4,18,1429,522,0.1752,0.2449
4,19,1202,391,0.1798,0.7455
4,20,1412,520,0.1589,0.2487
4,21,1210,395,0.1695,0.6894
4,22,1410,513,0.164,0.2245
4,23,1379,640,-0.1094,0.9999
4,24,1366,645,0.1091,0.9992
4,25,1537,883,-0.1597,0.9944
4,26,1165,806,0.1486,0.883
4,27,1798,982,-0.1301,0.9979
4,28,1193,1085,0.2402,0.7729
4,29,1844,960,-0.1255,0.986
4,30,1223,1138,0.2464,0.8426
4,31,1839,1117,-0.1782,0.9971
4,32,1076,1160,0.2289,0.8605
5,0,1216,150,0.0538,0.9999
5,1,1229,126,0.0299,0.9999
5,2,1232,126,0.0299,0.9999
5,3,1235,126,0.0298,1.0
5,4,1230,125,0.0569,1.0
5,5,1234,124,0.0569,0.9999
5,6,1237,124,0.0569,1.0
5,7,1263,139,-0.0355,0.9999
5,8,1270,137,0.0891,0.9999
5,9,1229,176,0.0337,0.9999
5,10,1228,175,0.0692,0.9998
5,11,1285,267,-0.1136,0.9999
5,12,1361,283,0.1494,0.9997
5,13,1265,428,-0.0316,0.9638
5,14,1501,383,0.1914,0.3599
5,15,1225,423,0.1989,0.7771
5,16,1423,502,0.1719,0.2429
5,17,1213,419,0.2161,0.7013
5,18,1416,521,0.1753,0.2387
5,19,1221,407,0.221,0.6989
5,20,1402,518,0.1572,0.2423
5,21,1229,409,0.2092,0.6475
5,22,1402,511,0.1628,0.2198
5,23,1376,640,-0.0973,0.9999
5,24,1357,647,0.097,0.9993
5,25,1523,886,-0.1485,0.9942
5,26,1190,849,0.1479,0.8871
5,27,1801,897,-0.1007,0.9969
5,28,1143,1130,0.1898,0.7946
5,29,1850,856,-0.0914,0.9845
5,30,1169,1181,0.1904,0.8556
5,31,1882,1005,-0.0989,0.9959
5,32,1008,1171,0.1696,0.8724
6,0,1215,153,0.0591,0.9999
6,1,1228,130,0.0363,0.9999
6,2,1231,130,0.0363,0.9999
6,3,1234,130,0.0363,0.9999
6,4,1229,129,0.0569,1.0
6,5,1232,128,0.0569,0.9999
6,6,1236,127,0.0568,1.0
6,7,1261,143,-0.0246,0.9999
6,8,1267,141,0.0758,0.9999
6,9,1229,178,0.0413,0.9998
6,10,1228,175,0.0684,0.9998
6,11,1277,271,-0.0999,0.9999
6,12,1361,286,0.1238,0.9997
6,13,1257,439,-0.0067,0.9607
6,14,1497,396,0.1578,0.4002
6,15,1225,449,0.2461,0.7154
6,16,1408,511,0.1636,0.2436
6,17,1212,456,0.2653,0.6406
6,18,1392,531,0.1696,0.2331
6,19,1220,443,0.2737,0.6381
6,20,1382,526,0.1504,0.2361
6,21,1229,442,0.2567,0.5926
6,22,1384,520,0.1544,0.2155
6,23,1373,642,-0.0928,0.9999
6,24,1353,648,0.0926,0.9993
6,25,1495,895,-0.1048,0.9938
6,26,1231,876,0.1475,0.8911
6,27,1763,827,0.0005,0.995
6,28,1162,1156,0.1791,0.8145
6,29,1842,783,0.014,0.983
6,30,1186,1204,0.179,0.8685
6,31,1857,892,0.0446,0.9937
6,32,1024,1195,0.1676,0.8839
7,0,1212,159,0.0413,0.9999
7,1,1224,134,0.016,0.9999
7,2,1227,134,0.0159,0.9999
7,3,1231,134,0.0159,0.9999
7,4,1224,133,0.0416,1.0
7,5,1226,132,0.0417,0.9999
7,6,1230,131,0.0416,1.0
7,7,1259,144,-0.0473,0.9999
7,8,1262,142,0.0709,0.9999
7,9,1228,187,0.0211,0.9998
7,10,1225,186,0.0539,0.9998
7,11,1274,272,-0.1246,0.9999
7,12,1361,288,0.1349,0.9997
7,13,1267,451,-0.0408,0.9628
7,14,1494,412,0.1642,0.4233
7,15,1239,522,0.1481,0.6961
7,16,1396,512,0.1561,0.2444
7,17,1231,537,0.1596,0.6094
7,18,1375,536,0.1636,0.2291
7,19,1230,523,0.1651,0.6055
7,20,1365,531,0.1389,0.2318
7,21,1240,518,0.1585,0.5652
7,22,1368,525,0.1424,0.214
7,23,1366,648,-0.0958,0.9999
7,24,1353,650,0.0956,0.9994
7,25,1450,915,-0.1041,0.9939
7,26,1256,892,0.1484,0.898
7,27,1679,803,0.0317,0.9938
7,28,1226,1175,0.1512,0.8328
7,29,1698,761,0.0468,0.9814
7,30,1258,1226,0.1463,0.8806
7,31,1799,842,0.0897,0.9926
7,32,1125,1239,0.1365,0.895
8,0,1209,177,0.0259,1.0
8,1,1220,151,0.0031,0.9999
8,2,1223,151,0.003,0.9999
8,3,1227,151,0.003,1.0
8,4,1218,150,0.0356,1.0
8,5,1221,149,0.0357,1.0
8,6,1224,148,0.0357,1.0
8,7,1257,159,-0.0487,0.9999
8,8,1257,157,0.0711,0.9999
8,9,1226,204,0.01,0.9999
8,10,1224,203,0.0523,0.9998
8,11,1275,286,-0.1457,0.9999
8,12,1358,299,0.1648,0.9998
8,13,1288,452,-0.1185,0.9657
8,14,1473,440,0.2022,0.4141
8,15,1265,573,0.0537,0.717
8,16,1397,521,0.1751,0.2453
8,17,1249,595,0.0502,0.6305
8,18,1389,542,0.1856,0.231
8,19,1243,584,0.0614,0.6262
8,20,1372,540,0.1526,0.2338
8,21,1253,576,0.0638,0.5874
8,22,1374,531,0.1594,0.2178
8,23,1363,652,-0.1047,0.9999
8,24,1376,651,0.1047,0.9995
8,25,1349,920,-0.1081,0.994
8,26,1307,929,0.15,0.8987
8,27,1598,804,-0.0044,0.993
8,28,1326,1196,0.1705,0.8487
8,29,1612,766,0.0095,0.9813
8,30,1369,1243,0.1675,0.8907
8,31,1752,863,0.0518,0.9923
8,32,1193,1261,0.1556,0.9045
9,0,1208,192,0.0253,0.9999
9,1,1220,166,0.0044,0.9999
9,2,1224,166,0.0044,0.9999
9,3,1228,166,0.0044,0.9999
9,4,1219,165,0.0374,0.9999
9,5,1222,164,0.0374,0.9999
9,6,1224,163,0.0373,1.0
9,7,1257,178,-0.047,0.9999
9,8,1258,174,0.0991,0.9999
9,9,1224,217,0.0093,0.9998
9,10,1222,218,0.0522,0.9998
9,11,1285,295,-0.1459,0.9999
9,12,1335,313,0.2125,0.9998
9,13,1342,440,-0.2315,0.9688
9,14,1407,462,0.2979,0.3748
9,15,1287,576,-0.2273,0.7434
9,16,1374,553,0.3159,0.2247
9,17,1263,597,-0.2581,0.6643
9,18,1388,570,0.3373,0.214
9,19,1256,584,-0.2422,0.6597
9,20,1374,570,0.3037,0.2166
9,21,1267,579,-0.2196,0.6218
9,22,1373,559,0.3025,0.202
9,23,1369,652,-0.1149,0.9999
9,24,1406,652,0.115,0.9995
9,25,1290,918,-0.1675,0.9945
9,26,1385,946,0.1487,0.8911
9,27,1530,834,-0.0486,0.9932
9,28,1482,1195,0.1416,0.8613
9,29,1562,803,-0.0243,0.9821
9,30,1525,1244,0.1344,0.896
9,31,1624,936,0.0011,0.9926
9,32,1372,1269,0.1189,0.9109
10,0,1207,190,-0.0024,0.9999
10,1,1220,165,-0.0194,0.9999
10,2,1224,165,-0.0194,0.9999
10,3,1228,165,-0.0194,0.9999
10,4,1219,165,0.0145,0.9999
10,5,1221,164,0.0145,0.9999
10,6,1224,163,0.0145,0.9999
10,7,1258,176,-0.0478,0.9999
10,8,1256,174,0.0876,0.9999
10,9,1224,215,-0.014,0.9998
10,10,1220,216,0.0299,0.9998
10,11,1311,294,-0.1532,0.9999
10,12,1295,323,0.1953,0.9998
10,13,1375,415,-0.2744,0.9717
10,14,1310,463,0.2684,0.3466
10,15,1329,555,-0.3159,0.7686
10,16,1247,546,0.2429,0.2466
10,17,1319,584,-0.3459,0.6967
10,18,1215,552,0.2539,0.2413
10,19,1308,571,-0.3364,0.6925
10,20,1207,543,0.2258,0.2457
10,21,1310,562,-0.3106,0.6573
10,22,1224,542,0.2301,0.2308
10,23,1380,642,-0.1134,0.9999
10,24,1397,651,0.1134,0.9996
10,25,1218,879,-0.1766,0.9948
10,26,1429,935,0.1055,0.8878
10,27,1465,869,-0.0198,0.9917
10,28,1579,1176,0.1003,0.8722
10,29,1502,841,-0.0,0.9797
10,30,1626,1214,0.0943,0.9004
10,31,1526,977,0.0388,0.9913
10,32,1494,1256,0.0698,0.9157
11,0,1209,186,-0.0042,0.9999
11,1,1225,159,-0.0183,0.9999
11,2,1229,159,-0.0183,0.9999
11,3,1233,159,-0.0183,0.9999
11,4,1222,159,0.012,0.9999
11,5,1223,159,0.012,0.9999
11,6,1226,158,0.012,0.9999
11,7,1265,170,-0.0383,0.9999
11,8,1256,170,0.0861,0.9999
